cross_track_error,reached_goal,collision,reward,timesteps,duration,progress,pathlength
0.0,0.0,1.0,-1138.128364663728,16.0,16.0,0.7135,0.0
0.0,0.0,1.0,-1268.5001936102058,37.0,37.0,0.6802,0.0
0.0,0.0,1.0,-1271.7657486194564,38.0,38.0,0.7322,0.0
0.0,0.0,1.0,-1372.714113202449,53.0,53.0,0.7451,0.0
0.0,0.0,1.0,-1450.5419456547884,74.0,74.0,0.7344,0.0
0.0,0.0,1.0,-1986.5136432623156,167.0,167.0,0.7663,0.0
0.0,0.0,1.0,-1156.7751797028259,17.0,17.0,0.6352,0.0
0.0,0.0,1.0,-2657.691275037479,277.0,277.0,0.6987,0.0
0.0,0.0,1.0,-2800.0928898753245,289.0,289.0,0.7332,0.0
0.0,0.0,0.0,-2004.796049830155,313.0,313.0,0.5309,0.0
0.0,0.0,1.0,-1211.3162142002434,28.0,28.0,0.7413,0.0
0.0,0.0,0.0,-2002.2915458893372,343.0,343.0,0.7826,0.0
0.0,0.0,0.0,-2005.463998997313,324.0,324.0,0.7132,0.0
0.0,0.0,1.0,-1452.7261261422923,80.0,80.0,0.7892,0.0
0.0,0.0,1.0,-2982.9745901755377,324.0,324.0,0.7797,0.0
0.0,0.0,1.0,-2667.0562917797583,289.0,289.0,0.7764,0.0
0.0,0.0,1.0,-1607.4421891180643,101.0,101.0,0.6961,0.0
0.0,0.0,1.0,-1564.8428565074491,90.0,90.0,0.6432,0.0
0.0,0.0,1.0,-1382.1433999717797,54.0,54.0,0.7545,0.0
0.0,0.0,0.0,-2002.278569062434,321.0,321.0,0.6831,0.0
0.0,0.0,1.0,-1214.1096528757462,25.0,25.0,0.7059,0.0
0.0,0.0,0.0,-2006.613936029365,326.0,326.0,0.6115,0.0
0.0,0.0,1.0,-2496.89880202901,257.0,257.0,0.7942,0.0
0.0,0.0,1.0,-2824.4911069520276,302.0,302.0,0.7386,0.0
0.0,0.0,1.0,-2982.109996799261,331.0,331.0,0.7224,0.0
0.0,0.0,1.0,-1259.5006104455308,35.0,35.0,0.7659,0.0
0.0,0.0,0.0,-2004.4888872858442,334.0,334.0,0.6666,0.0
0.0,0.0,1.0,-1149.8611529569955,21.0,21.0,0.7728,0.0
0.0,0.0,1.0,-2297.7613968342375,181.0,181.0,0.673,0.0
0.0,0.0,0.0,-2000.4912012434622,341.0,341.0,0.7821,0.0
0.0,0.0,1.0,-2900.816682586131,300.0,300.0,0.7432,0.0
0.0,0.0,1.0,-1412.4406233841912,62.0,62.0,0.693,0.0
0.0,0.0,0.0,-2000.7469893129437,331.0,331.0,0.6322,0.0
0.0,0.0,1.0,-1129.102748105995,14.0,14.0,0.76,0.0
0.0,0.0,1.0,-1811.9101202818501,142.0,142.0,0.7679,0.0
0.0,0.0,1.0,-2097.1106432372203,172.0,172.0,0.7434,0.0
0.0,0.0,1.0,-1194.28336191198,25.0,25.0,0.7766,0.0
0.0,0.0,1.0,-1243.3514493848209,39.0,39.0,0.7545,0.0
0.0,0.0,1.0,-1421.6603928089073,61.0,61.0,0.6943,0.0
0.0,0.0,1.0,-2739.4351525802663,290.0,290.0,0.7319,0.0
0.0,0.0,1.0,-1723.33665770128,104.0,104.0,0.8141,0.0
0.0,0.0,0.0,-2003.6134198381194,328.0,328.0,0.6693,0.0
0.0,0.0,1.0,-1675.8499743423322,104.0,104.0,0.7815,0.0
0.0,0.0,1.0,-1216.3954712938023,23.0,23.0,0.598,0.0
0.0,0.0,1.0,-2641.8879094031217,264.0,264.0,0.7622,0.0
0.0,0.0,1.0,-2030.4711142074405,159.0,159.0,0.7927,0.0
0.0,0.0,1.0,-1897.165781628651,132.0,132.0,0.4611,0.0
0.0,0.0,1.0,-1748.1361619117506,119.0,119.0,0.7654,0.0
0.0,0.0,1.0,-1306.020443666021,44.0,44.0,0.7751,0.0
0.0,0.0,1.0,-1620.5713468153454,102.0,102.0,0.7302,0.0
0.0,0.0,1.0,-2155.7600657335965,186.0,186.0,0.7756,0.0
0.0,0.0,0.0,-2001.617719658999,332.0,332.0,0.7239,0.0
0.0,0.0,1.0,-2545.831485063887,250.0,250.0,0.7333,0.0
0.0,0.0,1.0,-2189.0199380682648,196.0,196.0,0.794,0.0
0.0,0.0,1.0,-2182.395233284441,177.0,177.0,0.7666,0.0
0.0,0.0,1.0,-2227.5200060919574,208.0,208.0,0.694,0.0
0.0,0.0,1.0,-2269.772093537892,156.0,156.0,0.6527,0.0
0.0,0.0,1.0,-2803.2433539779086,284.0,284.0,0.4292,0.0
0.0,0.0,1.0,-1154.3038948879914,17.0,17.0,0.7488,0.0
0.0,0.0,1.0,-1098.3601938855215,11.0,11.0,0.7028,0.0
0.0,0.0,1.0,-2078.1330469324575,187.0,187.0,0.7908,0.0
0.0,0.0,1.0,-2652.949976729692,257.0,257.0,0.6654,0.0
0.0,0.0,1.0,-1401.949156609332,59.0,59.0,0.7619,0.0
0.0,0.0,0.0,-2000.7845264057128,324.0,324.0,0.7244,0.0
0.0,0.0,1.0,-1171.8901612775035,26.0,26.0,0.7574,0.0
0.0,0.0,1.0,-1376.5780275124778,55.0,55.0,0.7899,0.0
0.0,0.0,1.0,-1382.9612861506062,51.0,51.0,0.6916,0.0
0.0,0.0,1.0,-1192.5357998751927,27.0,27.0,0.7251,0.0
0.0,0.0,1.0,-1276.5525619163172,36.0,36.0,0.7287,0.0
